case_id,crime_datetime,district,taluk,police_station,crime_category,crime_type,crime_severity,case_status,fir_registered,act_id,section_id
CR010423,2025-04-12 06:20:33,Bengaluru Rural,Hosakote,Dobbespet PS,Economic Crime,Forgery,Medium,Pending Trial,Yes,ACT001,SEC015
CR010424,2025-10-07 09:25:59,Bengaluru South,Magadi,Ijoor PS,Economic Crime,Forgery,Medium,Charge Sheet Filed,Yes,ACT001,SEC015
CR010425,2025-02-19 00:02:43,Kolar,Mulbagal,Robertsonpet PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR010426,2024-10-09 21:49:35,Dakshina Kannada,Ullala,Belthangadi Traffic PS,Property Crime,Shop Theft,Medium,Pending Trial,Yes,ACT001,SEC003
CR010427,2024-11-03 22:13:11,Uttara Kannada,Mundgod,Yellapura PS,Cyber Crime,Phishing,Medium,Charge Sheet Filed,Yes,ACT002,SEC009
CR010428,2025-10-24 14:19:01,Kolar,Srinivaspur,KGF CEN Crime PS,Economic Crime,Forgery,Medium,Pending Trial,Yes,ACT001,SEC015
CR010429,2025-07-04 10:23:56,Bengaluru Urban,Yelahanka,Cottonpet PS,Public Order,Illegal Gambling,Medium,Under Investigation,Yes,ACT007,SEC016
CR010430,2024-09-17 06:35:32,Tumakuru,Madhugiri,Thilak Park PS,Crime Against Women,Stalking,High,Charge Sheet Filed,Yes,ACT001,SEC013
CR010431,2024-11-09 03:48:28,Vijayapura,Basavana Bagevadi,Managoli PS,Cyber Crime,UPI Fraud,Medium,Pending Trial,No,ACT002,SEC008
CR010432,2024-09-24 09:18:26,Hassan,Belur,Belur PS,Economic Crime,Forgery,Medium,Under Investigation,No,ACT001,SEC015
CR010433,2026-04-05 10:48:57,Bengaluru Urban,Anekal,Basavanagudi Traffic PS,Property Crime,Chain Snatching,Medium,Under Investigation,Yes,ACT001,SEC004
CR010434,2025-06-25 05:21:11,Kolar,Mulbagal,Mulbagal Rural PS,Property Crime,Shop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR010435,2026-03-02 06:39:14,Bagalkote,Mudhol,Banahatti PS,Public Order,Rioting,Medium,Closed,Yes,ACT001,SEC018
CR010436,2025-12-24 22:47:52,Bagalkote,Bilgi,Jamakhandi Town PS,Violent Crime,Attempt to Murder,Critical,Pending Trial,Yes,ACT001,SEC002
CR010437,2024-09-24 16:45:26,Kodagu,Somvarpet,Ponnampet PS,Crime Against Women,Stalking,High,Pending Trial,Yes,ACT001,SEC013
CR010438,2025-01-12 07:46:49,Raichur,Sindhnur,Mudgal PS,Cyber Crime,UPI Fraud,Medium,Closed,Yes,ACT002,SEC008
CR010439,2025-03-13 12:12:57,Hassan,Arkalgud,Javagal PS,Violent Crime,Assault,Critical,Charge Sheet Filed,Yes,ACT001,SEC006
CR010440,2025-01-05 03:06:25,Tumakuru,Kunigal,Kora PS,Cyber Crime,OTP Scam,Medium,Charge Sheet Filed,No,ACT002,SEC009
CR010441,2025-07-17 10:21:31,Koppal,Kukanoor,Kanakagiri PS,Crime Against Women,Stalking,High,Closed,Yes,ACT001,SEC013
CR010442,2026-06-28 05:56:07,Hassan,Sakleshpur,Shravanabelagola PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR010443,2024-08-07 08:39:43,Bengaluru Rural,Hosakote,Bengaluru CEN Crime PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR010444,2026-01-29 18:47:00,Chikkamagaluru,Sringeri,Koppa PS,Property Crime,Chain Snatching,Medium,Under Investigation,Yes,ACT001,SEC004
CR010445,2025-11-23 12:15:31,Kolar,Srinivaspur,Robertsonpet PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR010446,2026-07-03 21:38:00,Mysuru,Tirumakudal - Narsipur,Hullahalli PS,Public Order,Rioting,Medium,Charge Sheet Filed,Yes,ACT001,SEC018
CR010447,2026-04-20 01:50:15,Mandya,Nagamangala,Bindiganavile PS,Property Crime,Shop Theft,Medium,Pending Trial,Yes,ACT001,SEC003
CR010448,2025-08-18 15:59:30,Kalaburagi,Jevargi,University PS,Property Crime,House Burglary,Medium,Charge Sheet Filed,No,ACT001,SEC003
CR010449,2024-10-24 06:15:44,Bengaluru South,Magadi,Kanakapura Rural PS,Economic Crime,Forgery,Medium,Charge Sheet Filed,No,ACT001,SEC015
CR010450,2025-05-13 03:34:30,Koppal,Kushtagi,Bevoor PS,Cyber Crime,OTP Scam,Medium,Pending Trial,Yes,ACT002,SEC009
CR010451,2025-07-03 09:11:46,Kolar,Mulbagal,Bethamangala PS,Crime Against Women,Sexual Harassment,High,Pending Trial,Yes,ACT001,SEC007
CR010452,2025-04-01 04:39:15,Kolar,Kolar,Budikote Police Station,Crime Against Women,Sexual Harassment,High,Charge Sheet Filed,No,ACT001,SEC007
CR010453,2025-08-25 08:35:13,Shivamogga,Hosanagara,Vinobanagara PS,Crime Against Women,Stalking,High,Closed,Yes,ACT001,SEC013
CR010454,2025-12-23 22:08:17,Hassan,Sakleshpur,Hallymysore PS,Rural Crime,Cattle Theft,Medium,Pending Trial,No,ACT001,SEC019
CR010455,2025-12-15 03:17:41,Bengaluru Urban,Anekal,Ashoknagar PS,Crime Against Women,Sexual Harassment,High,Pending Trial,Yes,ACT001,SEC007
CR010456,2025-02-10 13:15:07,Chikkamagaluru,Ajjampura,Jayapura PS,Violent Crime,Attempt to Murder,Critical,Pending Trial,Yes,ACT001,SEC002
CR010457,2026-01-26 10:41:03,Uttara Kannada,Mundgod,Honnavara PS,Crime Against Women,Stalking,High,Charge Sheet Filed,Yes,ACT001,SEC013
CR010458,2025-09-16 23:34:58,Bengaluru Rural,Doddaballapura,Vijayapura PS,Economic Crime,Forgery,Medium,Closed,No,ACT001,SEC015
CR010459,2026-06-06 01:58:06,Hassan,Hassan,Nuggehalli PS,Public Order,Rioting,Medium,Pending Trial,Yes,ACT001,SEC018
CR010460,2025-05-21 00:39:48,Kalaburagi,Chincholi,Madbool PS,Cyber Crime,OTP Scam,Medium,Under Investigation,No,ACT002,SEC009
CR010461,2026-03-30 22:50:11,Koppal,Koppal,Munirabad PS,Property Crime,Vehicle Theft,Medium,Pending Trial,Yes,ACT001,SEC003
CR010462,2026-05-31 08:40:08,Bengaluru Rural,Doddaballapura,Vijayapura PS,Crime Against Women,Stalking,High,Closed,Yes,ACT001,SEC013
CR010463,2024-09-09 18:33:39,Chitradurga,Holalkere,Chitradurga CEN Crime PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010464,2024-11-09 02:49:15,Uttara Kannada,Honavar,Karwar Traffic PS,Cyber Crime,OTP Scam,Medium,Pending Trial,Yes,ACT002,SEC009
CR010465,2024-10-26 06:48:55,Hassan,Belur,Hassan CEN Crime PS,Economic Crime,Financial Fraud,Medium,Pending Trial,No,ACT002,SEC014
CR010466,2024-11-22 17:32:23,Koppal,Kukanoor,Koppal CEN Crime PS,Property Crime,Shop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR010467,2026-02-25 00:52:11,Chikkaballapura,Chintamani,Peresandra PS,Cyber Crime,UPI Fraud,Medium,Under Investigation,Yes,ACT002,SEC008
CR010468,2024-10-10 06:47:04,Mysuru,Heggadadevankote,Bettadapura PS,Violent Crime,Robbery,Critical,Closed,Yes,ACT001,SEC004
CR010469,2025-10-15 06:27:18,Hassan,Arkalgud,Channarayapatna Traffic PS,Cyber Crime,Phishing,Medium,Closed,No,ACT002,SEC009
CR010470,2026-06-28 17:12:26,Kolar,Srinivaspur,Marikuppam PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR010471,2025-10-27 22:55:11,Chikkamagaluru,Chikkamagaluru,Koppa PS,Property Crime,Chain Snatching,Medium,Charge Sheet Filed,Yes,ACT001,SEC004
CR010472,2026-01-01 21:39:42,Hassan,Alur,Halebeedu PS,Cyber Crime,UPI Fraud,Medium,Pending Trial,Yes,ACT002,SEC008
CR010473,2025-01-12 05:03:16,Kalaburagi,Yadrami,Chittapura PS,Public Order,Rioting,Medium,Under Investigation,Yes,ACT001,SEC018
CR010474,2025-12-18 00:13:26,Chikkamagaluru,Koppa,Jayapura PS,Violent Crime,Attempt to Murder,Critical,Charge Sheet Filed,Yes,ACT001,SEC002
CR010475,2025-04-22 07:33:50,Shivamogga,Tirthahalli,Shikaripura Town PS,Property Crime,Chain Snatching,Medium,Closed,Yes,ACT001,SEC004
CR010476,2026-04-24 02:30:34,Haveri,Hangal,Tadas PS,Property Crime,House Burglary,Medium,Pending Trial,No,ACT001,SEC003
CR010477,2026-04-20 17:53:32,Koppal,Kushtagi,Yelburga PS,Public Order,Illegal Gambling,Medium,Under Investigation,Yes,ACT007,SEC016
CR010478,2025-08-31 07:03:35,Tumakuru,Tumakuru,Kyathasandra PS,Economic Crime,Financial Fraud,Medium,Pending Trial,Yes,ACT002,SEC014
CR010479,2026-01-07 00:27:02,Uttara Kannada,Sirsi,Siddapura PS,Public Order,Illegal Liquor,Medium,Closed,Yes,ACT004,SEC017
CR010480,2025-10-12 07:16:53,Kolar,Malur,Budikote Police Station,Property Crime,Vehicle Theft,Medium,Under Investigation,Yes,ACT001,SEC003
CR010481,2026-02-26 03:57:12,Bengaluru Urban,Bengaluru South,Seshadripuram PS,Rural Crime,Crop Theft,Medium,Closed,Yes,ACT001,SEC020
CR010482,2025-02-25 12:02:03,Davanagere,Channagiri,Malebennur PS,Property Crime,House Burglary,Medium,Closed,Yes,ACT001,SEC003
CR010483,2025-01-13 10:30:11,Belagavi,Belagavi,Khadebazar PS,Violent Crime,Attempt to Murder,Critical,Under Investigation,Yes,ACT001,SEC002
CR010484,2026-06-13 23:24:15,Mysuru,Nanjangud,Mysore South PS,Economic Crime,Financial Fraud,Medium,Charge Sheet Filed,Yes,ACT002,SEC014
CR010485,2025-05-11 03:38:31,Shivamogga,Shikarpur,Ripponpet PS,Cyber Crime,OTP Scam,Medium,Closed,Yes,ACT002,SEC009
CR010486,2025-07-05 09:17:08,Hassan,Belur,Shanthigrama PS,Rural Crime,Crop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC020
CR010487,2024-12-09 13:01:56,Kolar,Srinivaspur,Andersonpet PS,Property Crime,House Burglary,Medium,Closed,Yes,ACT001,SEC003
CR010488,2025-05-11 09:16:48,Uttara Kannada,Ankola,Banavasi PS,Crime Against Women,Sexual Harassment,High,Closed,Yes,ACT001,SEC007
CR010489,2026-01-19 22:55:12,Bagalkote,Bilgi,Mahalingapur PS,Economic Crime,Cheating,Medium,Charge Sheet Filed,No,ACT001,SEC005
CR010490,2024-10-11 05:36:13,Bengaluru Rural,Nelamangala,Doddaballapura Town PS,Economic Crime,Cheating,Medium,Pending Trial,Yes,ACT001,SEC005
CR010491,2025-01-24 20:25:49,Kolar,Kolar,BEML Nagar PS,Crime Against Women,Stalking,High,Charge Sheet Filed,Yes,ACT001,SEC013
CR010492,2025-03-21 05:10:46,Hassan,Hassan,Yesalur PS,Property Crime,House Burglary,Medium,Closed,Yes,ACT001,SEC003
CR010493,2026-04-16 13:23:07,Hassan,Alur,Channarayapatna Town PS,Crime Against Women,Stalking,High,Pending Trial,Yes,ACT001,SEC013
CR010494,2026-04-12 22:36:48,Kolar,Mulbagal,Robertsonpet PS,Violent Crime,Murder,Critical,Closed,Yes,ACT001,SEC001
CR010495,2025-09-04 13:58:17,Bidar,Aurad,Hallikhed PS,Rural Crime,Crop Theft,Medium,Closed,No,ACT001,SEC020
CR010496,2026-04-25 22:44:52,Ballari,Siruguppa,Thoranagal PS,Violent Crime,Murder,Critical,Under Investigation,Yes,ACT001,SEC001
CR010497,2025-01-29 03:04:01,Tumakuru,Gubbi,Huliyurdurga PS,Economic Crime,Cheating,Medium,Under Investigation,Yes,ACT001,SEC005
CR010498,2025-05-05 08:20:37,Davanagere,Jagalur,Malebennur PS,Cyber Crime,OTP Scam,Medium,Pending Trial,Yes,ACT002,SEC009
CR010499,2026-04-15 14:03:30,Uttara Kannada,Karwar,Dandeli Town PS,Economic Crime,Cheating,Medium,Closed,Yes,ACT001,SEC005
CR010500,2026-02-07 15:23:32,Kolar,Bangarapet,Malur PS,Property Crime,House Burglary,Medium,Under Investigation,No,ACT001,SEC003
CR010501,2025-09-03 01:30:01,Dharwad,Hubballi Urban,Dharwad Town PS,Rural Crime,Cattle Theft,Medium,Under Investigation,Yes,ACT001,SEC019
CR010502,2025-12-20 09:37:00,Kolar,Kolar Gold Field,Srinivasapura PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010503,2025-01-19 04:39:15,Tumakuru,Tiptur,Tiptur Rural PS,Rural Crime,Cattle Theft,Medium,Pending Trial,Yes,ACT001,SEC019
CR010504,2024-12-04 04:09:42,Mandya,Krishnarajpet,Mandya East PS,Crime Against Women,Domestic Violence,High,Closed,Yes,ACT001,SEC012
CR010505,2024-08-21 15:22:34,Dharwad,Dharwad,Hubli Town PS,Crime Against Women,Domestic Violence,High,Charge Sheet Filed,Yes,ACT001,SEC012
CR010506,2025-10-12 00:35:36,Bidar,Bidar,Bidar CEN Crime PS,Rural Crime,Sand Mining,Medium,Under Investigation,Yes,ACT001,SEC021
CR010507,2025-09-10 21:42:36,Shivamogga,Hosanagara,Shimoga Rural PS,Cyber Crime,Phishing,Medium,Under Investigation,Yes,ACT002,SEC009
CR010508,2025-04-03 11:41:26,Tumakuru,Kunigal,Honnavalli PS,Cyber Crime,OTP Scam,Medium,Under Investigation,Yes,ACT002,SEC009
CR010509,2024-11-12 15:25:40,Dharwad,Hubballi Urban,Kalaghatagi PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010510,2024-08-30 06:38:39,Chikkaballapura,Sidlaghatta,Peresandra PS,Economic Crime,Financial Fraud,Medium,Charge Sheet Filed,No,ACT002,SEC014
CR010511,2025-06-18 07:47:31,Dakshina Kannada,Bantval,Bajpe PS,Economic Crime,Cheating,Medium,Pending Trial,Yes,ACT001,SEC005
CR010512,2024-10-23 12:59:32,Koppal,Koppal,Alwandi PS,Violent Crime,Assault,Critical,Pending Trial,Yes,ACT001,SEC006
CR010513,2024-12-06 06:22:05,Chikkaballapura,Chintamani,Nandi Giridhama PS,Crime Against Women,Stalking,High,Charge Sheet Filed,Yes,ACT001,SEC013
CR010514,2024-09-23 02:10:39,Chikkamagaluru,Mudigere,Jayapura PS,Crime Against Women,Sexual Harassment,High,Pending Trial,Yes,ACT001,SEC007
CR010515,2025-01-01 18:11:06,Kolar,Kolar,Kolar CEN Crime PS,Public Order,Illegal Liquor,Medium,Closed,No,ACT004,SEC017
CR010516,2025-06-29 13:13:33,Tumakuru,Sira,Arasikere PS,Public Order,Illegal Gambling,Medium,Charge Sheet Filed,No,ACT007,SEC016
CR010517,2025-03-27 08:39:02,Bengaluru Rural,Doddaballapura,Doddaballapura Town PS,Economic Crime,Financial Fraud,Medium,Pending Trial,Yes,ACT002,SEC014
CR010518,2026-03-18 22:22:04,Kalaburagi,Jevargi,Kunchavaram PS,Violent Crime,Attempt to Murder,Critical,Under Investigation,Yes,ACT001,SEC002
CR010519,2025-02-28 09:21:02,Kalaburagi,Sedam,Madbool PS,Rural Crime,Crop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC020
CR010520,2024-08-16 16:19:27,Mysuru,Saligrama,Talakadu PS,Crime Against Women,Stalking,High,Pending Trial,Yes,ACT001,SEC013
CR010521,2024-12-25 12:56:20,Chikkaballapura,Sidlaghatta,Nandi Giridhama PS,Public Order,Illegal Gambling,Medium,Charge Sheet Filed,Yes,ACT007,SEC016
CR010522,2024-08-22 00:35:06,Gadag,Gadag,Lakshmeshwar PS,Cyber Crime,Phishing,Medium,Closed,No,ACT002,SEC009
CR010523,2025-06-01 08:50:35,Mysuru,Piriyapatna,Nanjanagudu Town PS,Property Crime,Vehicle Theft,Medium,Pending Trial,Yes,ACT001,SEC003
CR010524,2025-12-24 20:59:16,Vijayanagara,Kudligi,Ballari CEN Crime PS,Cyber Crime,OTP Scam,Medium,Closed,No,ACT002,SEC009
CR010525,2025-01-20 19:54:18,Mandya,Pandavapura,Bellur PS,Cyber Crime,OTP Scam,Medium,Closed,No,ACT002,SEC009
CR010526,2026-02-20 05:22:03,Chikkaballapura,Chikkaballapura,Nandi Giridhama PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR010527,2026-04-18 16:23:39,Raichur,Maski,Devadurga PS,Public Order,Illegal Gambling,Medium,Charge Sheet Filed,Yes,ACT007,SEC016
CR010528,2024-12-02 00:37:00,Tumakuru,Gubbi,Tiptur Rural PS,Economic Crime,Forgery,Medium,Closed,No,ACT001,SEC015
CR010529,2025-01-11 17:34:47,Koppal,Koppal,Munirabad PS,Crime Against Women,Sexual Harassment,High,Charge Sheet Filed,Yes,ACT001,SEC007
CR010530,2024-12-14 01:22:46,Koppal,Kanakagiri,Gangavathi Rural PS,Cyber Crime,OTP Scam,Medium,Charge Sheet Filed,No,ACT002,SEC009
CR010531,2025-09-13 05:55:08,Tumakuru,Gubbi,Tiptur Rural PS,Rural Crime,Cattle Theft,Medium,Under Investigation,No,ACT001,SEC019
CR010532,2025-11-29 10:55:08,Davanagere,Channagiri,RMC Yard PS,Violent Crime,Attempt to Murder,Critical,Pending Trial,Yes,ACT001,SEC002
CR010533,2026-07-12 10:09:56,Vijayapura,Indi,Hortti PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010534,2025-05-19 01:44:42,Uttara Kannada,Siddapur,Sirsi Rural PS,Economic Crime,Cheating,Medium,Charge Sheet Filed,Yes,ACT001,SEC005
CR010535,2025-04-28 09:51:22,Dakshina Kannada,Beltangadi,Buntwala Town PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR010536,2026-05-18 03:07:40,Belagavi,Ramdurg,Murgod PS,Violent Crime,Murder,Critical,Pending Trial,Yes,ACT001,SEC001
CR010537,2026-03-04 02:46:01,Belagavi,Khanapur,Belagavi City CEN Crime PS,Economic Crime,Financial Fraud,Medium,Charge Sheet Filed,Yes,ACT002,SEC014
CR010538,2025-11-29 07:14:01,Tumakuru,Chiknayakanhalli,Amruthur PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010539,2026-02-18 00:51:09,Koppal,Yelbarga,Hanumasagar PS,Property Crime,House Burglary,Medium,Pending Trial,Yes,ACT001,SEC003
CR010540,2024-08-28 11:39:23,Bidar,Kamalnagar,Chitaguppa PS,Rural Crime,Cattle Theft,Medium,Closed,Yes,ACT001,SEC019
CR010541,2025-09-20 22:40:53,Ballari,Siruguppa,P.D. Halli PS,Cyber Crime,UPI Fraud,Medium,Pending Trial,Yes,ACT002,SEC008
CR010542,2026-03-22 18:34:00,Bengaluru Urban,Bengaluru South,East Zone Women PS,Property Crime,Shop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR010543,2026-02-05 16:29:24,Shivamogga,Sorab,Shivamogga CEN Crime PS,Public Order,Illegal Gambling,Medium,Charge Sheet Filed,Yes,ACT007,SEC016
CR010544,2025-09-18 07:22:15,Uttara Kannada,Sirsi,Murudeshwar PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR010545,2025-07-10 04:35:17,Gadag,Gadag,Gadag Town PS,Economic Crime,Cheating,Medium,Under Investigation,No,ACT001,SEC005
CR010546,2025-07-01 11:52:37,Tumakuru,Koratagere,Madhugiri PS,Economic Crime,Financial Fraud,Medium,Pending Trial,Yes,ACT002,SEC014
CR010547,2026-07-20 07:25:52,Vijayapura,Talikoti,Indi Rural PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR010548,2025-10-04 08:55:53,Shivamogga,Sorab,Jog PS,Property Crime,Shop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC003
CR010549,2024-09-10 12:48:52,Bengaluru Rural,Hosakote,Hosakote PS,Cyber Crime,UPI Fraud,Medium,Charge Sheet Filed,Yes,ACT002,SEC008
CR010550,2026-04-28 16:30:46,Chitradurga,Chitradurga,Chitradurga CEN Crime PS,Crime Against Women,Stalking,High,Closed,No,ACT001,SEC013
CR010551,2025-06-12 02:05:35,Hassan,Channarayapatna,Alur PS,Violent Crime,Robbery,Critical,Closed,Yes,ACT001,SEC004
CR010552,2026-05-13 05:06:54,Bengaluru Rural,Devanahalli,Suryanagar PS,Property Crime,Chain Snatching,Medium,Under Investigation,No,ACT001,SEC004
CR010553,2025-09-05 19:44:56,Shivamogga,Shikarpur,Jayanagara PS,Economic Crime,Cheating,Medium,Under Investigation,Yes,ACT001,SEC005
CR010554,2024-12-15 17:52:30,Bagalkote,Badami,Amengad PS,Violent Crime,Murder,Critical,Pending Trial,Yes,ACT001,SEC001
CR010555,2024-07-23 16:11:37,Kolar,Mulbagal,Rayalpad PS,Violent Crime,Robbery,Critical,Under Investigation,Yes,ACT001,SEC004
CR010556,2026-01-06 01:43:12,Belagavi,Bailahongala,Belagavi CEN Crime PS,Rural Crime,Sand Mining,Medium,Charge Sheet Filed,Yes,ACT001,SEC021
CR010557,2025-03-30 03:30:46,Bengaluru South,Channapatna,Bidadi PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010558,2025-01-20 20:52:40,Shivamogga,Hosanagara,Shivamogga CEN Crime PS,Cyber Crime,Phishing,Medium,Under Investigation,Yes,ACT002,SEC009
CR010559,2024-12-27 08:05:30,Bengaluru Rural,Hosakote,Nandagudi PS,Violent Crime,Robbery,Critical,Pending Trial,Yes,ACT001,SEC004
CR010560,2025-09-04 18:43:46,Chikkamagaluru,Mudigere,Jayapura PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR010561,2025-07-19 23:09:45,Hassan,Arkalgud,Nuggehalli PS,Public Order,Rioting,Medium,Pending Trial,No,ACT001,SEC018
CR010562,2024-09-02 18:02:25,Raichur,Raichur,Balaganoor PS,Crime Against Women,Stalking,High,Pending Trial,No,ACT001,SEC013
CR010563,2026-05-04 10:00:14,Kolar,Srinivaspur,Budikote Police Station,Public Order,Illegal Gambling,Medium,Under Investigation,Yes,ACT007,SEC016
CR010564,2026-07-15 12:59:04,Bengaluru South,Kanakapura,Channapatna East PS,Property Crime,House Burglary,Medium,Pending Trial,Yes,ACT001,SEC003
CR010565,2026-02-24 22:41:41,Kodagu,Somvarpet,Sunticoppa PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
CR010566,2025-02-24 09:18:56,Mysuru,Hunsur,Devaraja PS,Property Crime,Chain Snatching,Medium,Pending Trial,No,ACT001,SEC004
CR010567,2026-02-06 09:48:28,Dakshina Kannada,Ullala,Mangalore Rural PS,Rural Crime,Crop Theft,Medium,Charge Sheet Filed,Yes,ACT001,SEC020
CR010568,2025-03-07 16:50:02,Tumakuru,Madhugiri,Tumkur Traffic PS,Cyber Crime,Phishing,Medium,Charge Sheet Filed,No,ACT002,SEC009
CR010569,2025-07-05 12:21:03,Hassan,Channarayapatna,Halebeedu PS,Cyber Crime,OTP Scam,Medium,Closed,No,ACT002,SEC009
CR010570,2025-08-20 16:06:04,Kolar,Kolar,Kamasamudram PS,Economic Crime,Financial Fraud,Medium,Closed,Yes,ACT002,SEC014
CR010571,2024-10-06 16:27:06,Haveri,Hangal,Hirekerur PS,Crime Against Women,Domestic Violence,High,Under Investigation,Yes,ACT001,SEC012
CR010572,2025-09-15 19:18:22,Mandya,Nagamangala,Melukote PS,Public Order,Illegal Liquor,Medium,Closed,No,ACT004,SEC017
CR010573,2024-09-06 13:24:31,Chikkaballapura,Gauribidanur,Chelur PS,Cyber Crime,OTP Scam,Medium,Under Investigation,No,ACT002,SEC009
CR010574,2024-10-10 20:18:02,Hassan,Channarayapatna,Holenarasipura Town PS,Public Order,Rioting,Medium,Under Investigation,Yes,ACT001,SEC018
CR010575,2024-07-24 14:05:53,Mysuru,Saligrama,Siddarthanagar Traffic PS,Violent Crime,Attempt to Murder,Critical,Closed,Yes,ACT001,SEC002
CR010576,2025-12-03 03:31:54,Raichur,Sirwar,Shakti Nagar PS,Property Crime,Vehicle Theft,Medium,Closed,Yes,ACT001,SEC003
CR010577,2024-12-17 18:19:57,Davanagere,Davanagere,Nyamathi PS,Property Crime,Shop Theft,Medium,Pending Trial,Yes,ACT001,SEC003
CR010578,2025-06-27 20:15:08,Belagavi,Belagavi,Kittur PS,Crime Against Women,Stalking,High,Closed,Yes,ACT001,SEC013
CR010579,2024-08-07 18:51:37,Chikkaballapura,Chelur,Nandi Giridhama PS,Violent Crime,Robbery,Critical,Closed,Yes,ACT001,SEC004
CR010580,2026-04-06 16:38:35,Tumakuru,Pavagada,Kodigenahalli PS,Cyber Crime,Phishing,Medium,Pending Trial,No,ACT002,SEC009
CR010581,2026-06-24 17:32:11,Uttara Kannada,Kumta,Sirsi Town PS,Rural Crime,Sand Mining,Medium,Closed,Yes,ACT001,SEC021
CR010582,2025-12-27 11:28:35,Hassan,Hassan,Dudda PS,Cyber Crime,UPI Fraud,Medium,Under Investigation,Yes,ACT002,SEC008
CR010583,2025-05-13 09:11:01,Tumakuru,Koratagere,Medigeshi PS,Cyber Crime,Phishing,Medium,Pending Trial,Yes,ACT002,SEC009
CR010584,2024-08-26 18:41:08,Davanagere,Davanagere,Basavanagara PS,Property Crime,Shop Theft,Medium,Closed,Yes,ACT001,SEC003
CR010585,2026-04-27 06:27:24,Chikkaballapura,Gauribidanur,Peresandra PS,Public Order,Illegal Gambling,Medium,Closed,No,ACT007,SEC016
CR010586,2026-05-10 16:12:54,Davanagere,Honnali,Honnali PS,Violent Crime,Robbery,Critical,Charge Sheet Filed,Yes,ACT001,SEC004
CR010587,2026-07-13 19:16:18,Mandya,Malavalli,Shivalli PS,Cyber Crime,OTP Scam,Medium,Pending Trial,Yes,ACT002,SEC009
CR010588,2026-03-09 17:58:15,Davanagere,Davanagere,RMC Yard PS,Crime Against Women,Sexual Harassment,High,Under Investigation,Yes,ACT001,SEC007
CR010589,2025-05-09 19:37:21,Kolar,Kolar Gold Field,Andersonpet PS,Crime Against Women,Sexual Harassment,High,Closed,Yes,ACT001,SEC007
CR010590,2025-10-17 04:05:58,Kolar,Bangarapet,Kamasamudram PS,Public Order,Illegal Liquor,Medium,Under Investigation,Yes,ACT004,SEC017
CR010591,2025-11-17 00:18:21,Shivamogga,Sagar,Bhadravathi New Town PS,Public Order,Illegal Liquor,Medium,Closed,Yes,ACT004,SEC017
CR010592,2025-07-16 06:42:23,Kodagu,Ponnampet,Kushalanagar Rural PS,Crime Against Women,Stalking,High,Pending Trial,Yes,ACT001,SEC013
CR010593,2024-07-23 05:02:12,Mandya,Malavalli,Malavalli Town PS,Economic Crime,Cheating,Medium,Pending Trial,Yes,ACT001,SEC005
CR010594,2025-03-24 04:45:07,Belagavi,Raybag,Belagavi City CEN Crime PS,Violent Crime,Murder,Critical,Closed,Yes,ACT001,SEC001
CR010595,2024-10-15 13:19:23,Hassan,Belur,Hirisave PS,Rural Crime,Sand Mining,Medium,Pending Trial,Yes,ACT001,SEC021
CR010596,2025-01-28 19:44:09,Mandya,Malavalli,K.R. Sagar PS,Public Order,Illegal Gambling,Medium,Under Investigation,Yes,ACT007,SEC016
CR010597,2025-04-02 04:22:49,Vijayapura,Muddebihal,Bijapur rural PS,Property Crime,Chain Snatching,Medium,Charge Sheet Filed,No,ACT001,SEC004
CR010598,2025-04-02 12:31:09,Shivamogga,Tirthahalli,Shiralakuppa PS,Public Order,Illegal Liquor,Medium,Pending Trial,Yes,ACT004,SEC017
