investigation_id,case_id,investigating_officer_id,investigation_start_date,investigation_end_date,investigation_status,evidence_collected,witness_count,forensic_required,forensic_completed,remarks
INV002757,CR002757,EMP006296,2026-06-16,,Ongoing,Yes,6,Yes,Yes,Investigation in progress.
INV002758,CR002758,EMP008538,2026-04-15,2026-09-25,Completed,Yes,3,Yes,No,Charge sheet preparation underway.
INV002759,CR002759,EMP005010,2024-08-11,,Ongoing,No,10,Yes,Yes,Investigation in progress.
INV002760,CR002760,EMP003287,2025-06-22,2025-08-22,Completed,Yes,3,No,No,Witness statements recorded.
INV002761,CR002761,EMP005835,2025-08-08,2025-11-07,Completed,Yes,3,No,No,Investigation completed successfully.
INV002762,CR002762,EMP003366,2025-01-30,2025-05-09,Closed,Yes,7,No,No,Complaint found to be false.
INV002763,CR002763,EMP006066,2025-08-30,2026-02-04,Completed,No,7,No,No,Investigation completed successfully.
INV002764,CR002764,EMP004678,2024-10-12,2025-01-20,Completed,Yes,7,No,No,Evidence verified and case completed.
INV002765,CR002765,EMP009351,2025-01-07,2025-06-25,Closed,Yes,9,Yes,Yes,Case closed due to insufficient evidence.
INV002766,CR002766,EMP003279,2026-04-03,2026-09-14,Closed,No,8,No,No,Case closed due to insufficient evidence.
INV002767,CR002767,EMP001625,2026-06-08,,Ongoing,Yes,7,No,No,Awaiting forensic report.
INV002768,CR002768,EMP004713,2025-11-15,,Ongoing,No,3,No,No,Investigation in progress.
INV002769,CR002769,EMP000083,2025-04-03,,Ongoing,Yes,10,Yes,Yes,Evidence collection in progress.
INV002770,CR002770,EMP000458,2025-11-27,2026-01-29,Closed,No,4,No,No,Case closed due to insufficient evidence.
INV002771,CR002771,EMP007933,2025-08-15,2025-10-31,Completed,Yes,0,No,No,Witness statements recorded.
INV002772,CR002772,EMP008051,2025-05-14,,Ongoing,Yes,5,Yes,Yes,Investigation in progress.
INV002773,CR002773,EMP003268,2024-09-12,2025-01-26,Closed,No,9,Yes,Yes,Investigation closed after verification.
INV002774,CR002774,EMP009739,2025-10-07,,Ongoing,Yes,4,Yes,Yes,Awaiting forensic report.
INV002775,CR002775,EMP006065,2025-05-26,,Ongoing,No,5,No,No,Evidence collection in progress.
INV002776,CR002776,EMP000892,2026-06-20,,Ongoing,Yes,3,Yes,Yes,Awaiting forensic report.
INV002777,CR002777,EMP004706,2025-05-20,2025-06-18,Completed,Yes,4,No,No,Investigation completed successfully.
INV002778,CR002778,EMP000036,2024-09-23,,Ongoing,Yes,0,No,No,Additional witnesses being examined.
INV002779,CR002779,EMP007943,2025-12-23,2026-02-08,Completed,Yes,6,No,No,Evidence verified and case completed.
INV002780,CR002780,EMP005363,2026-06-29,2026-10-19,Closed,Yes,0,Yes,Yes,Investigation closed after verification.
INV002781,CR002781,EMP005896,2025-05-18,,Ongoing,Yes,0,No,No,Additional witnesses being examined.
INV002782,CR002782,EMP004987,2025-11-04,,Ongoing,Yes,8,No,No,Evidence collection in progress.
INV002783,CR002783,EMP009615,2026-01-07,,Ongoing,Yes,5,Yes,Yes,Additional witnesses being examined.
INV002784,CR002784,EMP004666,2025-12-02,2026-03-01,Closed,Yes,3,No,No,Investigation closed after verification.
INV002785,CR002785,EMP006681,2026-02-25,2026-07-01,Completed,No,5,Yes,Yes,Charge sheet preparation underway.
INV002786,CR002786,EMP008951,2026-06-16,2026-08-19,Closed,Yes,0,No,No,Case closed due to insufficient evidence.
INV002787,CR002787,EMP009030,2025-06-15,,Ongoing,Yes,1,No,No,Additional witnesses being examined.
INV002788,CR002788,EMP004703,2024-08-10,2024-11-25,Completed,Yes,2,Yes,Yes,Evidence verified and case completed.
INV002789,CR002789,EMP003254,2025-12-22,,Ongoing,Yes,10,No,No,Awaiting forensic report.
INV002790,CR002790,EMP003159,2025-03-22,,Ongoing,Yes,3,No,No,Additional witnesses being examined.
INV002791,CR002791,EMP000890,2025-10-29,,Ongoing,Yes,6,No,No,Investigation in progress.
INV002792,CR002792,EMP004663,2026-02-09,2026-03-27,Completed,Yes,4,No,No,Evidence verified and case completed.
INV002793,CR002793,EMP003256,2026-06-18,2026-08-13,Closed,Yes,10,No,No,Investigation closed after verification.
INV002794,CR002794,EMP003306,2025-09-05,2025-10-21,Completed,Yes,7,No,No,Evidence verified and case completed.
INV002795,CR002795,EMP000658,2025-06-14,2025-07-29,Closed,Yes,0,Yes,Yes,Investigation closed after verification.
INV002796,CR002796,EMP001201,2025-03-01,2025-08-07,Closed,Yes,3,Yes,Yes,Case closed due to insufficient evidence.
INV002797,CR002797,EMP008520,2025-10-21,,Ongoing,Yes,7,No,No,Additional witnesses being examined.
INV002798,CR002798,EMP006211,2025-11-21,,Ongoing,Yes,0,No,No,Awaiting forensic report.
INV002799,CR002799,EMP003255,2026-06-28,2026-11-12,Completed,Yes,3,No,No,Investigation completed successfully.
INV002800,CR002800,EMP005122,2025-04-07,2025-05-14,Closed,No,4,No,No,Investigation closed after verification.
INV002801,CR002801,EMP008292,2024-07-13,2024-11-10,Completed,Yes,3,No,No,Investigation completed successfully.
INV002802,CR002802,EMP006365,2024-09-27,2025-02-04,Completed,Yes,9,No,No,Evidence verified and case completed.
INV002803,CR002803,EMP008181,2025-04-07,2025-04-27,Completed,Yes,5,No,No,Charge sheet preparation underway.
INV002804,CR002804,EMP008837,2025-05-19,,Ongoing,No,9,No,No,Additional witnesses being examined.
INV002805,CR002805,EMP007373,2025-07-11,2025-07-24,Completed,Yes,10,No,No,Evidence verified and case completed.
INV002806,CR002806,EMP008599,2025-09-29,2025-10-24,Completed,Yes,4,No,No,Charge sheet preparation underway.
INV002807,CR002807,EMP001631,2025-11-21,2025-12-29,Completed,Yes,5,Yes,Yes,Charge sheet preparation underway.
INV002808,CR002808,EMP009959,2026-01-01,,Ongoing,Yes,7,No,No,Evidence collection in progress.
INV002809,CR002809,EMP003356,2024-09-05,2025-02-12,Closed,Yes,4,Yes,Yes,Case closed due to insufficient evidence.
INV002810,CR002810,EMP003288,2026-07-08,2026-10-15,Completed,Yes,0,No,No,Charge sheet preparation underway.
INV002811,CR002811,EMP008184,2025-05-26,2025-07-29,Completed,No,3,No,No,Investigation completed successfully.
INV002812,CR002812,EMP003313,2025-07-14,,Ongoing,Yes,3,No,No,Evidence collection in progress.
INV002813,CR002813,EMP007836,2026-04-16,,Ongoing,Yes,0,No,No,Additional witnesses being examined.
INV002814,CR002814,EMP006204,2025-08-28,2025-12-28,Completed,Yes,0,Yes,Yes,Investigation completed successfully.
INV002815,CR002815,EMP000560,2025-11-24,,Ongoing,No,1,No,No,Awaiting forensic report.
INV002816,CR002816,EMP008224,2025-08-19,,Ongoing,Yes,4,No,No,Awaiting forensic report.
INV002817,CR002817,EMP001565,2026-02-17,,Ongoing,Yes,1,Yes,Yes,Evidence collection in progress.
INV002818,CR002818,EMP009621,2026-05-23,,Ongoing,Yes,2,No,No,Awaiting forensic report.
INV002819,CR002819,EMP006547,2025-10-24,2026-02-18,Completed,No,10,Yes,Yes,Witness statements recorded.
INV002820,CR002820,EMP003265,2026-04-18,,Ongoing,Yes,3,No,No,Evidence collection in progress.
INV002821,CR002821,EMP003362,2025-01-09,,Ongoing,Yes,3,No,No,Investigation in progress.
INV002822,CR002822,EMP001329,2025-01-03,2025-02-16,Completed,Yes,5,No,No,Evidence verified and case completed.
INV002823,CR002823,EMP001440,2024-12-21,2025-05-28,Completed,Yes,6,No,No,Witness statements recorded.
INV002824,CR002824,EMP003255,2025-05-11,2025-09-30,Completed,Yes,4,Yes,No,Charge sheet preparation underway.
INV002825,CR002825,EMP003295,2026-05-23,,Ongoing,Yes,1,Yes,Yes,Investigation in progress.
INV002826,CR002826,EMP003288,2025-07-04,2025-07-30,Completed,Yes,0,Yes,Yes,Witness statements recorded.
INV002827,CR002827,EMP000885,2024-07-30,,Ongoing,Yes,0,No,No,Awaiting forensic report.
INV002828,CR002828,EMP006405,2025-06-16,2025-11-22,Closed,Yes,6,No,No,Complaint found to be false.
INV002829,CR002829,EMP003265,2026-04-24,2026-06-06,Closed,No,10,Yes,Yes,Complaint found to be false.
INV002830,CR002830,EMP004766,2025-05-14,2025-08-06,Completed,Yes,4,No,No,Charge sheet preparation underway.
INV002831,CR002831,EMP005113,2025-04-15,,Ongoing,No,5,Yes,Yes,Evidence collection in progress.
INV002832,CR002832,EMP002571,2026-01-15,2026-02-10,Completed,Yes,3,No,No,Investigation completed successfully.
INV002833,CR002833,EMP000077,2024-12-09,2025-05-28,Completed,Yes,3,No,No,Witness statements recorded.
INV002834,CR002834,EMP003349,2025-09-01,2025-11-12,Completed,No,3,No,No,Witness statements recorded.
INV002835,CR002835,EMP000330,2026-02-27,,Ongoing,No,4,No,No,Additional witnesses being examined.
INV002836,CR002836,EMP003854,2025-10-04,,Ongoing,Yes,0,No,No,Investigation in progress.
INV002837,CR002837,EMP009294,2025-09-15,2025-10-19,Completed,Yes,3,Yes,Yes,Evidence verified and case completed.
INV002838,CR002838,EMP005350,2025-03-23,,Ongoing,No,5,No,No,Awaiting forensic report.
INV002839,CR002839,EMP003302,2025-08-28,2025-12-12,Completed,Yes,5,No,No,Evidence verified and case completed.
INV002840,CR002840,EMP007591,2024-07-17,2024-10-16,Closed,Yes,5,Yes,Yes,Case closed due to insufficient evidence.
INV002841,CR002841,EMP001279,2026-05-20,2026-08-20,Closed,Yes,5,No,No,Complaint found to be false.
INV002842,CR002842,EMP008278,2024-09-24,2025-01-11,Completed,Yes,5,No,No,Investigation completed successfully.
INV002843,CR002843,EMP004190,2026-01-15,,Ongoing,Yes,3,Yes,Yes,Awaiting forensic report.
INV002844,CR002844,EMP008174,2025-10-04,2025-11-06,Completed,Yes,5,No,No,Witness statements recorded.
INV002845,CR002845,EMP001627,2026-01-10,,Ongoing,Yes,4,No,No,Awaiting forensic report.
INV002846,CR002846,EMP005090,2026-03-16,2026-09-08,Completed,Yes,0,Yes,Yes,Charge sheet preparation underway.
INV002847,CR002847,EMP000960,2024-08-31,2025-02-25,Completed,Yes,5,No,No,Charge sheet preparation underway.
INV002848,CR002848,EMP003306,2025-08-08,2025-12-19,Completed,Yes,6,Yes,Yes,Witness statements recorded.
INV002849,CR002849,EMP010024,2025-03-15,2025-05-11,Closed,Yes,6,No,No,Case closed due to insufficient evidence.
INV002850,CR002850,EMP005752,2025-01-07,,Ongoing,Yes,3,No,No,Evidence collection in progress.
INV002851,CR002851,EMP007213,2025-11-22,2026-05-07,Completed,No,10,Yes,Yes,Witness statements recorded.
INV002852,CR002852,EMP001280,2024-09-12,2025-02-23,Closed,No,4,No,No,Complaint found to be false.
INV002853,CR002853,EMP002777,2026-02-03,2026-02-22,Closed,Yes,9,Yes,No,Investigation closed after verification.
INV002854,CR002854,EMP000555,2024-12-15,,Ongoing,No,9,No,No,Investigation in progress.
INV002855,CR002855,EMP002765,2026-03-16,2026-05-01,Completed,Yes,4,No,No,Evidence verified and case completed.
INV002856,CR002856,EMP001261,2026-01-11,,Ongoing,No,3,No,No,Evidence collection in progress.
INV002857,CR002857,EMP006586,2026-01-11,2026-05-30,Closed,No,3,No,No,Investigation closed after verification.
INV002858,CR002858,EMP006087,2024-09-07,,Ongoing,Yes,2,Yes,Yes,Evidence collection in progress.
INV002859,CR002859,EMP002812,2025-09-28,,Ongoing,Yes,4,Yes,Yes,Evidence collection in progress.
INV002860,CR002860,EMP003315,2025-02-07,,Ongoing,Yes,6,No,No,Additional witnesses being examined.
INV002861,CR002861,EMP003601,2026-03-22,2026-08-10,Closed,Yes,9,Yes,Yes,Complaint found to be false.
INV002862,CR002862,EMP004852,2026-05-12,,Ongoing,Yes,2,No,No,Investigation in progress.
INV002863,CR002863,EMP008034,2026-04-30,2026-06-17,Completed,Yes,7,Yes,Yes,Investigation completed successfully.
INV002864,CR002864,EMP002543,2026-03-20,2026-06-05,Completed,Yes,9,Yes,Yes,Charge sheet preparation underway.
INV002865,CR002865,EMP000667,2025-11-05,,Ongoing,Yes,6,Yes,Yes,Additional witnesses being examined.
INV002866,CR002866,EMP004096,2025-07-28,2025-11-09,Completed,Yes,3,No,No,Investigation completed successfully.
INV002867,CR002867,EMP004974,2026-03-24,2026-08-10,Completed,Yes,4,No,No,Investigation completed successfully.
INV002868,CR002868,EMP000887,2024-10-02,2025-03-03,Closed,Yes,9,No,No,Complaint found to be false.
INV002869,CR002869,EMP001097,2025-12-10,,Ongoing,Yes,4,No,No,Awaiting forensic report.
INV002870,CR002870,EMP003028,2025-11-29,2026-01-14,Completed,Yes,1,No,No,Investigation completed successfully.
INV002871,CR002871,EMP007292,2024-08-25,2024-09-15,Completed,Yes,3,Yes,Yes,Witness statements recorded.
INV002872,CR002872,EMP002173,2025-09-06,2025-11-15,Closed,No,3,Yes,Yes,Investigation closed after verification.
INV002873,CR002873,EMP010003,2026-02-25,2026-07-29,Completed,No,7,No,No,Evidence verified and case completed.
INV002874,CR002874,EMP003309,2024-09-03,,Ongoing,No,5,No,No,Additional witnesses being examined.
INV002875,CR002875,EMP007317,2025-04-28,,Ongoing,Yes,6,No,No,Awaiting forensic report.
INV002876,CR002876,EMP009402,2025-12-30,2026-01-24,Completed,Yes,1,No,No,Investigation completed successfully.
INV002877,CR002877,EMP003295,2026-06-15,2026-10-08,Completed,Yes,4,Yes,Yes,Investigation completed successfully.
INV002878,CR002878,EMP008253,2024-11-11,,Ongoing,No,2,No,No,Additional witnesses being examined.
INV002879,CR002879,EMP008283,2025-03-25,,Ongoing,Yes,9,No,No,Evidence collection in progress.
INV002880,CR002880,EMP003258,2025-11-25,2025-12-08,Closed,No,1,Yes,Yes,Complaint found to be false.
INV002881,CR002881,EMP009265,2024-10-01,2025-01-17,Closed,Yes,4,Yes,Yes,Complaint found to be false.
INV002882,CR002882,EMP002281,2025-10-27,2026-04-20,Completed,Yes,3,No,No,Investigation completed successfully.
INV002883,CR002883,EMP003301,2024-08-05,2024-12-09,Completed,Yes,5,No,No,Charge sheet preparation underway.
INV002884,CR002884,EMP004867,2025-05-21,,Ongoing,Yes,4,No,No,Evidence collection in progress.
INV002885,CR002885,EMP006163,2024-12-21,2025-04-10,Completed,Yes,3,No,No,Witness statements recorded.
INV002886,CR002886,EMP000916,2026-04-16,2026-07-01,Closed,Yes,2,Yes,Yes,Complaint found to be false.
INV002887,CR002887,EMP008033,2024-07-09,2024-08-03,Closed,Yes,0,No,No,Complaint found to be false.
INV002888,CR002888,EMP009324,2025-02-11,2025-03-27,Closed,No,0,No,No,Case closed due to insufficient evidence.
INV002889,CR002889,EMP006073,2025-12-19,2026-01-07,Closed,No,3,Yes,Yes,Investigation closed after verification.
INV002890,CR002890,EMP000895,2025-02-22,2025-04-29,Completed,Yes,9,No,No,Charge sheet preparation underway.
INV002891,CR002891,EMP001453,2025-07-05,,Ongoing,Yes,0,No,No,Investigation in progress.
INV002892,CR002892,EMP004900,2024-07-17,2024-08-01,Completed,Yes,3,No,No,Investigation completed successfully.
INV002893,CR002893,EMP001320,2025-10-10,,Ongoing,Yes,3,No,No,Awaiting forensic report.
INV002894,CR002894,EMP005328,2025-07-15,2025-11-29,Completed,Yes,4,No,No,Investigation completed successfully.
INV002895,CR002895,EMP009590,2025-03-12,2025-05-22,Closed,Yes,6,No,No,Investigation closed after verification.
INV002896,CR002896,EMP007496,2025-05-03,2025-07-07,Closed,Yes,6,No,No,Investigation closed after verification.
INV002897,CR002897,EMP009997,2024-07-10,2024-08-04,Completed,Yes,5,No,No,Evidence verified and case completed.
INV002898,CR002898,EMP004683,2025-02-21,,Ongoing,Yes,0,Yes,Yes,Evidence collection in progress.
INV002899,CR002899,EMP007836,2025-10-16,,Ongoing,Yes,1,Yes,Yes,Additional witnesses being examined.
INV002900,CR002900,EMP009895,2026-04-04,2026-06-04,Closed,Yes,5,Yes,Yes,Case closed due to insufficient evidence.
INV002901,CR002901,EMP008516,2026-04-22,2026-06-09,Closed,Yes,7,No,No,Case closed due to insufficient evidence.
INV002902,CR002902,EMP003300,2024-12-14,2025-05-14,Completed,No,2,Yes,Yes,Witness statements recorded.
INV002903,CR002903,EMP009892,2024-08-08,2024-10-03,Closed,Yes,3,Yes,No,Investigation closed after verification.
INV002904,CR002904,EMP001221,2026-06-12,2026-07-15,Closed,Yes,1,No,No,Complaint found to be false.
INV002905,CR002905,EMP008069,2026-01-22,2026-03-08,Closed,No,5,No,No,Complaint found to be false.
INV002906,CR002906,EMP001301,2024-07-15,2024-09-12,Completed,Yes,1,No,No,Charge sheet preparation underway.
INV002907,CR002907,EMP006751,2024-10-21,2025-04-10,Completed,Yes,0,Yes,Yes,Evidence verified and case completed.
INV002908,CR002908,EMP004073,2025-06-29,2025-09-19,Completed,Yes,8,No,No,Investigation completed successfully.
INV002909,CR002909,EMP009177,2025-08-03,,Ongoing,Yes,5,No,No,Awaiting forensic report.
INV002910,CR002910,EMP001702,2025-08-24,2025-10-18,Completed,No,3,Yes,Yes,Witness statements recorded.
INV002911,CR002911,EMP007355,2024-10-15,,Ongoing,Yes,10,Yes,Yes,Investigation in progress.
INV002912,CR002912,EMP000716,2024-10-10,2024-11-29,Completed,No,4,Yes,No,Charge sheet preparation underway.
INV002913,CR002913,EMP003847,2024-09-24,2025-02-01,Completed,Yes,5,No,No,Charge sheet preparation underway.
INV002914,CR002914,EMP003274,2026-03-30,,Ongoing,No,2,No,No,Additional witnesses being examined.
INV002915,CR002915,EMP003314,2025-01-20,2025-04-23,Closed,Yes,5,No,No,Complaint found to be false.
INV002916,CR002916,EMP006318,2025-08-31,2025-10-03,Completed,Yes,3,No,No,Investigation completed successfully.
INV002917,CR002917,EMP000754,2026-03-22,2026-09-06,Completed,Yes,4,Yes,Yes,Charge sheet preparation underway.
INV002918,CR002918,EMP003901,2024-09-06,,Ongoing,Yes,0,Yes,Yes,Evidence collection in progress.
INV002919,CR002919,EMP001339,2025-11-11,,Ongoing,Yes,5,No,No,Evidence collection in progress.
INV002920,CR002920,EMP000463,2024-12-28,2025-03-03,Completed,Yes,2,No,No,Charge sheet preparation underway.
INV002921,CR002921,EMP003268,2025-07-25,,Ongoing,Yes,9,Yes,Yes,Evidence collection in progress.
INV002922,CR002922,EMP005418,2025-06-08,,Ongoing,Yes,3,No,No,Awaiting forensic report.
INV002923,CR002923,EMP004799,2026-01-28,2026-02-14,Closed,Yes,1,No,No,Investigation closed after verification.
INV002924,CR002924,EMP004093,2025-03-20,2025-05-20,Completed,Yes,9,No,No,Charge sheet preparation underway.
INV002925,CR002925,EMP007802,2025-06-30,,Ongoing,No,3,Yes,No,Evidence collection in progress.
INV002926,CR002926,EMP003282,2025-06-22,2025-10-24,Completed,Yes,0,No,No,Witness statements recorded.
INV002927,CR002927,EMP001320,2025-08-10,2025-11-21,Completed,Yes,3,No,No,Evidence verified and case completed.
INV002928,CR002928,EMP007213,2024-09-10,2024-10-29,Completed,Yes,3,No,No,Evidence verified and case completed.
INV002929,CR002929,EMP009153,2025-06-09,2025-08-17,Completed,Yes,5,No,No,Charge sheet preparation underway.
INV002930,CR002930,EMP001189,2025-05-25,2025-07-22,Completed,Yes,8,Yes,Yes,Witness statements recorded.
INV002931,CR002931,EMP009736,2025-09-08,2025-12-03,Completed,Yes,4,Yes,Yes,Investigation completed successfully.
INV002932,CR002932,EMP005551,2026-07-06,2026-10-17,Closed,No,5,No,No,Investigation closed after verification.
INV002933,CR002933,EMP007418,2025-07-30,2025-09-19,Completed,Yes,4,No,No,Witness statements recorded.
INV002934,CR002934,EMP005064,2026-06-03,2026-10-28,Completed,Yes,7,Yes,Yes,Investigation completed successfully.
INV002935,CR002935,EMP000549,2024-07-20,2024-09-12,Completed,No,4,No,No,Witness statements recorded.
INV002936,CR002936,EMP003269,2024-12-13,2025-02-26,Completed,Yes,3,No,No,Witness statements recorded.
INV002937,CR002937,EMP004727,2025-09-12,2026-03-02,Completed,Yes,0,No,No,Witness statements recorded.
INV002938,CR002938,EMP000025,2025-12-23,2026-05-03,Completed,Yes,2,Yes,Yes,Investigation completed successfully.
INV002939,CR002939,EMP002135,2026-05-20,2026-06-06,Completed,Yes,0,No,No,Witness statements recorded.
INV002940,CR002940,EMP003310,2025-09-19,2025-11-05,Completed,No,5,No,No,Witness statements recorded.
INV002941,CR002941,EMP005368,2025-07-16,,Ongoing,Yes,2,No,No,Awaiting forensic report.
INV002942,CR002942,EMP003841,2025-02-06,,Ongoing,Yes,5,No,No,Additional witnesses being examined.
INV002943,CR002943,EMP006485,2024-11-16,,Ongoing,Yes,0,No,No,Investigation in progress.
INV002944,CR002944,EMP006269,2024-08-15,,Ongoing,Yes,3,Yes,Yes,Awaiting forensic report.
INV002945,CR002945,EMP003303,2026-04-30,,Ongoing,Yes,4,No,No,Additional witnesses being examined.
INV002946,CR002946,EMP009466,2025-01-02,2025-06-03,Completed,Yes,4,No,No,Witness statements recorded.
INV002947,CR002947,EMP007605,2024-10-28,2025-01-05,Completed,Yes,1,No,No,Witness statements recorded.
INV002948,CR002948,EMP006442,2025-11-10,2026-01-06,Closed,Yes,2,No,No,Case closed due to insufficient evidence.
INV002949,CR002949,EMP009216,2026-03-09,2026-05-31,Closed,Yes,4,No,No,Case closed due to insufficient evidence.
INV002950,CR002950,EMP007604,2025-04-27,2025-09-02,Completed,No,5,Yes,Yes,Investigation completed successfully.
INV002951,CR002951,EMP008704,2026-01-29,,Ongoing,Yes,9,No,No,Awaiting forensic report.
INV002952,CR002952,EMP007281,2025-05-10,2025-08-14,Closed,No,5,Yes,Yes,Investigation closed after verification.
INV002953,CR002953,EMP004784,2025-12-31,2026-05-23,Completed,Yes,3,No,No,Evidence verified and case completed.
INV002954,CR002954,EMP008517,2024-12-02,2025-05-01,Completed,Yes,5,Yes,Yes,Evidence verified and case completed.
INV002955,CR002955,EMP004964,2025-08-28,2025-10-08,Completed,Yes,4,No,No,Witness statements recorded.
INV002956,CR002956,EMP005756,2024-09-25,,Ongoing,Yes,7,No,No,Investigation in progress.
INV002957,CR002957,EMP008025,2025-06-07,2025-10-12,Closed,Yes,0,Yes,Yes,Complaint found to be false.
INV002958,CR002958,EMP009994,2025-12-01,2026-04-01,Closed,Yes,4,Yes,Yes,Complaint found to be false.
INV002959,CR002959,EMP006079,2025-03-02,2025-06-14,Closed,Yes,2,No,No,Case closed due to insufficient evidence.
INV002960,CR002960,EMP002270,2024-07-25,2024-09-29,Completed,Yes,2,No,No,Investigation completed successfully.
INV002961,CR002961,EMP009414,2025-11-03,,Ongoing,Yes,4,No,No,Evidence collection in progress.
INV002962,CR002962,EMP003314,2025-08-05,2025-09-03,Closed,Yes,0,No,No,Complaint found to be false.
INV002963,CR002963,EMP006926,2024-07-15,2024-11-10,Completed,No,10,No,No,Investigation completed successfully.
INV002964,CR002964,EMP009774,2024-09-10,2024-09-27,Closed,Yes,5,Yes,Yes,Investigation closed after verification.
INV002965,CR002965,EMP004939,2026-02-06,2026-03-26,Completed,Yes,4,No,No,Investigation completed successfully.
INV002966,CR002966,EMP003295,2024-12-25,2025-02-03,Completed,No,4,Yes,Yes,Charge sheet preparation underway.
INV002967,CR002967,EMP008435,2025-03-19,,Ongoing,Yes,0,No,No,Additional witnesses being examined.
INV002968,CR002968,EMP004527,2024-09-15,2024-10-01,Closed,Yes,8,Yes,Yes,Investigation closed after verification.
INV002969,CR002969,EMP005650,2024-11-28,2024-12-14,Completed,Yes,8,Yes,Yes,Investigation completed successfully.
INV002970,CR002970,EMP008431,2025-12-13,2026-01-31,Completed,Yes,5,No,No,Investigation completed successfully.
INV002971,CR002971,EMP009112,2025-02-02,2025-02-20,Closed,Yes,0,Yes,No,Investigation closed after verification.
INV002972,CR002972,EMP008581,2024-08-31,2024-12-14,Completed,Yes,0,Yes,Yes,Evidence verified and case completed.
INV002973,CR002973,EMP007240,2025-04-02,2025-06-13,Completed,Yes,9,No,No,Evidence verified and case completed.
INV002974,CR002974,EMP008222,2025-05-18,2025-09-20,Completed,Yes,3,No,No,Investigation completed successfully.
INV002975,CR002975,EMP004717,2025-05-22,,Ongoing,Yes,1,No,No,Additional witnesses being examined.
INV002976,CR002976,EMP003314,2024-11-03,2025-02-25,Closed,Yes,2,No,No,Investigation closed after verification.
INV002977,CR002977,EMP001378,2026-05-14,2026-07-20,Completed,Yes,5,No,No,Investigation completed successfully.
INV002978,CR002978,EMP003294,2025-05-17,2025-08-05,Completed,Yes,4,No,No,Investigation completed successfully.
INV002979,CR002979,EMP008017,2025-12-30,2026-06-19,Completed,Yes,10,No,No,Witness statements recorded.
INV002980,CR002980,EMP003298,2025-12-20,,Ongoing,Yes,4,Yes,Yes,Investigation in progress.
INV002981,CR002981,EMP006709,2025-09-28,2025-12-17,Completed,Yes,9,No,No,Evidence verified and case completed.
INV002982,CR002982,EMP003298,2024-07-27,2024-12-25,Completed,Yes,3,Yes,Yes,Witness statements recorded.
INV002983,CR002983,EMP008322,2025-09-26,2026-03-09,Completed,Yes,3,Yes,Yes,Charge sheet preparation underway.
INV002984,CR002984,EMP005096,2025-12-06,2026-05-10,Completed,Yes,1,No,No,Evidence verified and case completed.
INV002985,CR002985,EMP007709,2024-12-23,2025-05-11,Completed,Yes,9,Yes,No,Evidence verified and case completed.
INV002986,CR002986,EMP009949,2026-04-09,2026-08-27,Completed,Yes,4,No,No,Witness statements recorded.
INV002987,CR002987,EMP003299,2025-03-28,,Ongoing,Yes,2,No,No,Additional witnesses being examined.
INV002988,CR002988,EMP001644,2025-10-31,2026-03-22,Completed,Yes,0,No,No,Investigation completed successfully.
INV002989,CR002989,EMP005143,2024-07-21,2024-11-15,Completed,Yes,4,No,No,Evidence verified and case completed.
INV002990,CR002990,EMP000029,2025-06-13,,Ongoing,Yes,2,Yes,Yes,Investigation in progress.
INV002991,CR002991,EMP006304,2026-06-26,2026-11-13,Closed,Yes,3,Yes,Yes,Complaint found to be false.
INV002992,CR002992,EMP007755,2026-02-06,,Ongoing,Yes,3,Yes,Yes,Investigation in progress.
INV002993,CR002993,EMP003357,2026-05-25,2026-09-28,Completed,Yes,5,No,No,Evidence verified and case completed.
INV002994,CR002994,EMP001405,2025-04-16,2025-05-28,Completed,Yes,6,Yes,Yes,Investigation completed successfully.
INV002995,CR002995,EMP007507,2024-12-19,2025-01-12,Completed,Yes,0,Yes,Yes,Investigation completed successfully.
INV002996,CR002996,EMP006872,2025-08-02,2025-09-24,Completed,Yes,4,Yes,No,Investigation completed successfully.
INV002997,CR002997,EMP006665,2025-09-30,2026-01-06,Closed,Yes,0,Yes,Yes,Case closed due to insufficient evidence.
INV002998,CR002998,EMP006928,2024-07-29,,Ongoing,Yes,4,Yes,Yes,Awaiting forensic report.
INV002999,CR002999,EMP003272,2025-05-08,,Ongoing,Yes,1,No,No,Awaiting forensic report.
INV003000,CR003000,EMP007994,2026-01-02,,Ongoing,Yes,6,No,No,Additional witnesses being examined.
INV003001,CR003001,EMP003262,2024-09-21,2024-12-01,Closed,Yes,8,Yes,Yes,Investigation closed after verification.
INV003002,CR003002,EMP005369,2026-02-17,2026-07-25,Closed,Yes,5,No,No,Investigation closed after verification.
INV003003,CR003003,EMP001464,2024-09-24,2025-01-29,Completed,No,9,Yes,No,Charge sheet preparation underway.
INV003004,CR003004,EMP003330,2026-05-17,,Ongoing,Yes,7,No,No,Awaiting forensic report.
INV003005,CR003005,EMP003270,2025-05-29,2025-09-07,Completed,No,5,No,No,Charge sheet preparation underway.
INV003006,CR003006,EMP004304,2026-04-11,2026-08-03,Closed,Yes,4,No,No,Investigation closed after verification.
INV003007,CR003007,EMP005456,2026-05-10,2026-07-15,Completed,No,8,No,No,Investigation completed successfully.
INV003008,CR003008,EMP005778,2025-10-21,2026-01-07,Closed,Yes,3,No,No,Investigation closed after verification.
INV003009,CR003009,EMP008299,2025-10-03,2026-03-27,Completed,Yes,6,No,No,Evidence verified and case completed.
